1,"אָב","ʼâb","awb","a primitive word;","father, in a literal and immediate, or figurative and remote application","chief, (fore-) father(-less), [idiom] patrimony, principal. Compare names in 'Abi-'."
2,"אַב","ʼab","ab","(Aramaic) corresponding to 1 (אָב)","{father}","father."
3,"אֵב","ʼêb","abe","from the same as 24 (אָבִיב);","a green plant","greenness, fruit."
4,"אֵב","ʼêb","abe","(Aramaic) corresponding to 3 (אֵב)","{a green plant}","fruit."
5,"אֲבַגְתָא","ʼĂbagthâʼ","ab-ag-thaw'","of foreign origin;","Abagtha, a eunuch of Xerxes","Abagtha."
6,"אָבַד","ʼâbad","aw-bad'","a primitive root;","properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)","break, destroy(-uction), [phrase] not escape, fail, lose, (cause to, make) perish, spend, [idiom] and surely, take, be undone, [idiom] utterly, be void of, have no way to flee."
7,"אֲבַד","ʼăbad","ab-ad'","(Aramaic) corresponding to 6 (אָבַד)","{properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)}","destroy, perish."
8,"אֹבֵד","ʼôbêd","o-bade'","active of participle of 6 (אָבַד);","(concrete) wretched or (abstract) destruction","perish."
9,"אֲבֵדָה","ʼăbêdâh","ab-ay-daw'","from 6 (אָבַד); Compare 10 (אֲבַדֹּה).","concrete, something lost; abstract, destruction, i.e. Hades","lost."
10,"אֲבַדֹּה","ʼăbaddôh","ab-ad-do'","the same as 9 (אֲבֵדָה), miswritten for 11 (אֲבַדּוֹן);","a perishing","destruction."
11,"אֲבַדּוֹן","ʼăbaddôwn","ab-ad-done'","intensive from 6 (אָבַד);","abstract, a perishing; concrete, Hades","destruction."
12,"אַבְדָן","ʼabdân","ab-dawn'","from 6 (אָבַד);","a perishing","destruction."
13,"אׇבְדַן","ʼobdan","ob-dawn'","from 6 (אָבַד);","a perishing","destruction."
14,"אָבָה","ʼâbâh","aw-baw'","a primitive root;","to breathe after, i.e. (figuratively) to be acquiescent","consent, rest content will, be willing."
15,"אָבֶה","ʼâbeh","aw-beh'","from 14 (אָבָה);","longing","desire."
16,"אֵבֶה","ʼêbeh","ay-beh'","from 14 (אָבָה) (in the sense of bending toward);","the papyrus","swift."
17,"אֲבוֹי","ʼăbôwy","ab-o'ee","from 14 (אָבָה) (in the sense of desiring);","want","sorrow."
18,"אֵבוּס","ʼêbûwç","ay-booce'","from 75 (אָבַס);","a manger or stall","crib."
19,"אִבְחָה","ʼibchâh","ib-khaw'","from an unused root (apparently meaning to turn);","brandishing of a sword","point."
20,"אֲבַטִּיחַ","ʼăbaṭṭîyach","ab-at-tee'-akh","of uncertain derivation;","a melon (only plural)","melon."
21,"אֲבִי","ʼĂbîy","ab-ee'","from 1 (אָב); fatherly;","Abi, Hezekiah's mother","Abi."
22,"אֲבִיאֵל","ʼĂbîyʼêl","ab-ee-ale'","from 1 (אָב) and 410 (אֵל); father (i.e. possessor) of God;","Abiel, the name of two Israelites","Abiel."
